sample	column	output_column	operator	expected	actual	reason
03-98DDCS	fastq_scan_num_reads_clean_pairs	read_pairs	>=	250000		missing value
369711	assembly_length	assembly_length			4653361	no qc rule matches gambit_predicted_taxon='Salmonella enterica' for column 'assembly_length', and no default is configured
369711	quast_report	quast_n50			217441	no qc rule matches gambit_predicted_taxon='Salmonella enterica' for file_parsing output 'quast_n50' (column 'quast_report'), and no default is configured
480757	est_coverage_clean	coverage	>=	30	28.619999999999997	28.619999999999997 >= 30 is False
CL2021-00283104	n50_value	n50	>	15000	10000	10000.0 > 15000 is False
CL2021-00283104	number_contigs	contig_count	<	300	853	853.0 < 300 is False
CL2021-00283104	est_coverage_clean	coverage	>=	30	20.98	20.98 >= 30 is False
CL2021-00283104	quast_report	quast_n50	>=	50000	10000	10000.0 >= 50000 is False
